date, day, frac_chosen_nr, frac_chosen_rew, frac_chosen_prob 
2017-06-29T13:23:23.524Z,0,7,20,0.5 
2017-06-29T13:23:23.524Z,0,6,15,0.7 
2017-06-29T13:23:23.524Z,0,9,25,0.5 
2017-06-29T13:23:23.524Z,0,8,35,0.3 
2017-06-29T13:23:23.524Z,0,8,35,0.3 
2017-07-04T14:10:53.596Z,1,9,25,0.5 
2017-07-04T14:10:53.596Z,1,5,25,0.4 
2017-07-04T14:10:53.596Z,1,9,25,0.5 
2017-07-04T14:10:53.596Z,1,7,20,0.5 
2017-07-04T14:10:53.596Z,1,9,25,0.5 
2017-07-04T14:13:52.587Z,2,3,25,0.4 
2017-07-04T14:13:52.587Z,2,1,20,0.5 
2017-07-04T14:13:52.587Z,2,2,35,0.3 
2017-07-04T14:13:52.587Z,2,2,35,0.3 
2017-07-04T14:13:52.587Z,2,2,35,0.3 
2017-07-10T12:58:52.355Z,3,3,25,0.4 
2017-07-10T12:58:52.355Z,3,3,25,0.4 
2017-07-10T12:58:52.355Z,3,1,20,0.5 
2017-07-10T12:58:52.355Z,3,0,25,0.5 
2017-07-10T12:58:52.355Z,3,3,25,0.4 
2017-07-10T13:09:02.956Z,4,3,25,0.4 
2017-07-10T13:09:02.956Z,4,1,20,0.5 
2017-07-10T13:09:02.956Z,4,4,15,0.7 
2017-07-10T13:09:02.956Z,4,2,35,0.3 
2017-07-10T13:09:02.956Z,4,0,25,0.5 
